second,family,mature,births,max_generation,changed_births,late_births
0,0,1,0,0,0,0
0,1,1,0,0,0,0
0,2,1,0,0,0,0
0,3,1,0,0,0,0
10,0,2,1,1,1,0
10,1,1,0,0,0,0
10,2,1,0,0,0,0
10,3,1,0,0,0,0
20,0,2,1,1,1,0
20,1,2,1,1,1,0
20,2,1,0,0,0,0
20,3,1,0,0,0,0
30,0,3,2,1,2,0
30,1,2,1,1,1,0
30,2,2,1,1,1,0
30,3,1,0,0,0,0
40,0,4,3,2,3,0
40,1,3,2,1,2,0
40,2,2,1,1,1,0
40,3,1,0,0,0,0
50,0,5,4,2,3,0
50,1,3,2,1,2,0
50,2,2,1,1,1,0
50,3,1,0,0,0,0
60,0,6,5,2,4,0
60,1,4,3,1,2,0
60,2,3,2,2,2,0
60,3,1,0,0,0,0
70,0,7,6,3,5,0
70,1,5,4,2,3,0
70,2,3,3,3,3,0
70,3,1,0,0,0,0
80,0,6,6,3,5,0
80,1,8,7,3,6,0
80,2,3,3,3,3,0
80,3,1,0,0,0,0
90,0,4,6,3,5,0
90,1,10,9,3,8,0
90,2,4,4,3,4,0
90,3,1,0,0,0,0
100,0,2,7,3,6,0
100,1,9,9,3,8,0
100,2,4,4,3,4,0
100,3,2,1,1,1,0
110,0,3,8,3,7,0
110,1,7,10,3,9,0
110,2,4,4,3,4,0
110,3,2,1,1,1,0
120,0,5,10,3,9,0
120,1,7,12,3,11,0
120,2,4,4,3,4,0
120,3,2,1,1,1,0
130,0,6,11,3,10,0
130,1,8,14,4,13,0
130,2,4,4,3,4,0
130,3,2,1,1,1,0
140,0,8,13,3,12,0
140,1,9,15,4,14,0
140,2,2,4,3,4,0
140,3,2,1,1,1,0
150,0,8,13,3,12,0
150,1,12,18,4,17,0
150,2,3,5,4,5,0
150,3,4,3,2,3,0
160,0,8,14,3,13,0
160,1,11,18,4,17,0
160,2,3,5,4,5,0
160,3,4,3,2,3,0
170,0,7,16,4,15,0
170,1,9,18,4,17,0
170,2,3,5,4,5,0
170,3,5,4,2,4,0
180,0,8,17,4,16,0
180,1,9,20,5,19,0
180,2,3,5,4,5,0
180,3,5,4,2,4,0
190,0,8,18,5,17,0
190,1,9,20,5,19,0
190,2,3,5,4,5,0
190,3,5,4,2,4,0
200,0,8,19,5,18,0
200,1,9,22,5,21,0
200,2,3,5,4,5,0
200,3,5,4,2,4,0
210,0,6,19,5,18,0
210,1,10,23,5,22,0
210,2,3,5,4,5,0
210,3,5,4,2,4,0
220,0,3,19,5,18,0
220,1,10,23,5,22,0
220,2,3,5,4,5,0
220,3,6,5,3,5,0
230,0,5,22,5,21,0
230,1,11,25,6,24,0
230,2,3,5,4,5,0
230,3,6,5,3,5,0
240,0,5,22,5,21,0
240,1,8,25,6,24,0
240,2,3,5,4,5,0
