1012,0,23,8,1350,3
1045,0,31,5,1350,3
1100,0,21,5,1350,3
1170,0,26,3,1350,3
1183,0,35,3,1350,3
1232,0,36,4,1350,3
1273,0,37,3,1350,3
1184,0,25,3,1361,3
1188,0,26,3,1390,3
1139,0,20,3,1405,3
1308,0,26,3,1406,3
1301,0,21,3,1417,3
1448,0,28,3,1510,3
1446,0,27,3,1514,3
1496,0,29,3,1585,3
1518,0,29,3,1597,3
1487,0,22,3,1605,3
1513,0,35,3,1621,3
1508,0,28,3,1626,3
1461,0,34,3,1630,3
1604,0,30,3,1703,3
1554,0,30,3,1716,3
1580,0,29,3,1738,3
1608,0,31,3,1748,3
1653,0,27,3,1756,3
1012,0,23,8,1350,3
1045,0,31,5,1350,3
1100,0,21,5,1350,3
1170,0,26,3,1350,3
1183,0,35,3,1350,3
1232,0,36,4,1350,3
1273,0,37,3,1350,3
1184,0,25,3,1361,3
1188,0,26,3,1390,3
1139,0,20,3,1405,3
1308,0,26,3,1406,3
1301,0,21,3,1417,3
1448,0,28,3,1510,3
1446,0,27,3,1514,3
1496,0,29,3,1585,3
1518,0,29,3,1597,3
1487,0,22,3,1605,3
1513,0,35,3,1621,3
1508,0,28,3,1626,3
1461,0,34,3,1630,3
1604,0,30,3,1703,3
1554,0,30,3,1716,3
1580,0,29,3,1738,3
1608,0,31,3,1748,3
1653,0,27,3,1756,3
