1387,0,32,7,5400,4
1402,0,20,4,5400,5
1453,0,35,3,5400,4
1454,0,25,3,5421,5
1551,0,33,3,5538,4
1473,0,21,3,5571,5
1550,0,36,3,5613,4
1585,0,37,3,5665,4
1648,0,23,3,5944,5
1628,0,28,3,6006,5
1677,0,24,3,6068,5
1588,0,27,3,6074,5
1710,0,39,3,6083,4
1659,0,28,3,6111,5
1726,0,38,3,6132,4
1708,0,25,3,6204,5
1761,0,39,3,6207,4
1853,0,26,3,6508,5
1886,0,41,3,6605,4
1922,0,43,3,6684,4
1834,0,26,3,6703,5
1948,0,44,3,6831,4
1857,0,33,3,6853,5
1928,0,27,3,6884,5
1968,0,34,3,6928,4
1958,0,43,3,6935,4
2031,0,45,3,7046,4
2014,0,35,3,7082,4
2064,0,36,3,7109,4
2078,0,47,3,7152,4
2093,0,48,3,7172,4
