3272,0,82,9,5400,6
3348,0,85,4,5400,6
3412,0,83,3,5451,6
3474,0,89,3,5501,6
3497,0,90,3,5550,6
3488,0,84,3,5570,6
3508,0,86,3,5570,6
3504,0,91,3,5593,6
3577,0,88,3,5655,6
3580,0,94,3,5702,6
3507,0,88,3,5713,6
3644,0,91,3,5806,6
3603,0,86,3,5854,6
3688,0,93,3,5905,6
3719,0,94,3,5923,6
3699,0,87,3,5986,6
3767,0,98,3,6001,6
3810,0,95,3,6012,6
3800,0,99,3,6078,6
3814,0,100,3,6096,6
3817,0,99,3,6141,6
3947,0,102,3,6197,6
3904,0,100,3,6207,6
3924,0,97,3,6256,6
3910,0,102,3,6308,6
4017,0,99,3,6314,6
4025,0,102,3,6349,6
4013,0,98,3,6355,6
4033,0,101,3,6388,6
4028,0,100,3,6397,6
4059,0,103,3,6452,6
4115,0,102,3,6502,6
4145,0,106,3,6553,6
4188,0,106,3,6610,6
4194,0,107,3,6624,6
4207,0,105,3,6648,6
4220,0,107,3,6654,6
4298,0,109,3,6739,6
4260,0,108,3,6771,6
4334,0,108,3,6779,6
