1522,0,15,8,1350,4
1624,0,20,3,1350,4
1649,0,18,3,1350,4
1728,0,22,4,1350,4
1735,0,20,3,1362,4
1751,0,22,3,1375,4
1747,0,23,3,1414,4
1859,0,17,3,1414,4
1844,0,21,3,1423,4
1754,0,19,3,1433,4
1908,0,24,3,1447,4
1855,0,23,3,1457,4
1822,0,19,3,1461,4
1941,0,24,3,1476,4
1951,0,20,3,1487,4
1801,0,20,3,1511,4
1986,0,19,3,1518,4
2024,0,25,3,1541,4
1815,0,23,3,1544,4
1933,0,21,3,1581,4
2117,0,24,3,1611,4
2040,0,21,3,1613,4
2064,0,20,3,1632,4
2067,0,21,3,1647,4
2182,0,25,3,1649,4
2110,0,26,3,1664,4
2229,0,27,3,1696,4
2133,0,22,3,1712,4
2231,0,27,3,1716,4
2248,0,24,3,1727,4
2230,0,21,3,1749,4
2359,0,26,3,1791,4
1522,0,15,8,1350,4
1624,0,20,3,1350,4
1649,0,18,3,1350,4
1728,0,22,4,1350,4
1735,0,20,3,1362,4
1751,0,22,3,1375,4
1747,0,23,3,1414,4
1859,0,17,3,1414,4
1844,0,21,3,1423,4
1754,0,19,3,1433,4
1908,0,24,3,1447,4
1855,0,23,3,1457,4
1822,0,19,3,1461,4
1941,0,24,3,1476,4
1951,0,20,3,1487,4
1801,0,20,3,1511,4
1986,0,19,3,1518,4
2024,0,25,3,1541,4
1815,0,23,3,1544,4
1933,0,21,3,1581,4
2117,0,24,3,1611,4
2040,0,21,3,1613,4
2064,0,20,3,1632,4
2067,0,21,3,1647,4
2182,0,25,3,1649,4
2110,0,26,3,1664,4
2229,0,27,3,1696,4
2133,0,22,3,1712,4
2231,0,27,3,1716,4
2248,0,24,3,1727,4
2230,0,21,3,1749,4
2359,0,26,3,1791,4
