seconds,id,lineage,generation,cells,genome_nodes,modules,branches,width,height,speed,heading,motors,sensors,storage,attackers,neural_rate,geometry_rate,property_rate,role_rate,insert_rate,erase_rate,duplication_rate,deletion_rate,copy_rate,move_rate,constructor_rate,meta_rate,neural_magnitude,geometry_magnitude,property_magnitude,acquired_energy,extracted_energy,converted_energy,age,parent,parent_lineage,defenders,memory,senders,receivers,paid_thrust
0,0,1,0,5,5,1,1,2.07512,1.3085,0,0.179999,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,1,2,0,4,4,1,1,1.31228,1.39245,0,-0.70792,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,2,3,0,9,9,1,2,5.22364,5.08182,0,2.4503,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
0,3,4,0,7,3,2,1,3.60862,3.19545,0,0.611955,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,0,0,0,0,4294967295,4294967295,0,0,0,0,0
30,0,1,0,5,5,1,1,1.89294,1.37784,0.104067,-0.120844,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,4.68,0,0,29.9996,4294967295,4294967295,0,0,0,0,0
30,1,2,0,4,4,1,1,1.69747,1.25875,0.534657,-2.09207,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,4.61704,0,0,29.9996,4294967295,4294967295,0,0,0,0,0.697383
30,2,3,0,9,9,1,2,6.00637,4.06726,0.466004,0.524323,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,14.2064,0,0,29.9996,4294967295,4294967295,0,0,0,0,1.66242
30,3,4,0,7,3,2,1,3.4555,3.73568,0.159538,-1.90412,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,8.28,0,0,29.9996,4294967295,4294967295,0,0,0,0,1.37201
30,4,1,1,5,5,1,1,1.35953,2.13526,0.098225,1.6969,0,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,1.32,0,0,29.9913,0,1,0,0,0,0,0
30,5,2,1,4,4,1,1,1.28337,1.60445,0.503785,-0.567562,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,3.36,0,0,29.9913,1,2,0,0,0,0,0.818291
30,6,3,1,9,9,1,2,4.13039,6.28159,0.178178,-2.95366,2,1,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,8.22692,0,0,29.9913,2,3,0,0,0,0,1.52418
30,7,4,1,7,3,2,1,3.52268,3.58649,0.489045,0.412255,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,8.64,0,0,29.9913,3,4,0,0,0,0,1.37201
30,8,4,2,7,3,2,1,3.29416,3.5799,0.621971,-1.62572,3,0,10.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,3.84,0,0,21.5914,7,4,0,0,0,0,1.37201
30,13,3,1,8,8,1,2,4.52796,4.65859,0.0522943,1.84949,2,1,9.6,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,1.70848,0,0,13.1749,2,3,0,0,0,0,1.37476
60,0,1,0,5,5,1,1,2.04044,1.31604,0.00470273,0.0954253,0,0,13.2,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,9.84,0,0,60.0056,4294967295,4294967295,0,0,0,0,0
60,1,2,0,4,4,1,1,1.11158,1.97063,0.494855,2.87083,2,1,4.8,0,0.34,0.24,0.14,0.035,0.04,0.025,0.008,0.004,0.01,0.006,0.035,0.002,1,1,1,10.2502,0,0,60.0056,4294967295,4294967295,0,0,0,0,0.561214
