seconds,id,lineage,generation,cell,parent,x,y,role,vx,vy,hue,mature
0,0,1,0,0,-1,-12.7899,-9.84065,1,0,0,0.7,1
0,0,1,0,1,0,-11.9832,-9.69385,8,0,0,0.7,1
0,0,1,0,2,0,-13.3204,-9.21553,8,0,0,0.7,1
0,0,1,0,3,0,-12.9762,-10.524,8,0,0,0.7,1
0,0,1,0,4,1,-11.2453,-9.55958,0,0,0,0.7,1
0,1,2,0,0,-1,10.5528,-8.08745,1,0,0,0.09,1
0,1,2,0,1,0,11.3467,-8.76699,4,0,0,0.09,1
0,1,2,0,2,1,11.2078,-7.37454,3,0,0,0.09,1
0,1,2,0,3,1,10.0344,-8.74664,3,0,0,0.09,1
0,2,3,0,0,-1,-9.73679,9.71455,1,0,0,0.34,1
0,2,3,0,1,0,-10.5059,10.351,4,0,0,0.34,1
0,2,3,0,2,1,-10.408,9.04223,3,0,0,0.34,1
0,2,3,0,3,1,-9.19846,10.2368,3,0,0,0.34,1
0,2,3,0,4,0,-8.8584,8.82521,0,0,0,0.34,1
0,2,3,0,5,4,-8.17922,7.73911,0,0,0,0.34,1
0,2,3,0,6,5,-7.10162,7.04653,0,0,0,0.34,1
0,2,3,0,7,6,-6.42244,5.96042,0,0,0,0.34,1
0,2,3,0,8,7,-5.28228,5.26919,0,0,0,0.34,1
0,3,4,0,0,-1,1.33439,4.49413,1,0,0,0.57,1
0,3,4,0,1,0,2.23477,5.12605,8,0,0,0.57,1
0,3,4,0,2,1,3.09812,5.60615,3,0,0,0.57,1
0,3,4,0,3,0,0.336949,4.95792,8,0,0,0.57,1
0,3,4,0,4,3,-0.510501,5.46555,3,0,0,0.57,1
0,3,4,0,5,0,1.43146,3.39842,8,0,0,0.57,1
0,3,4,0,6,5,1.41557,2.4107,3,0,0,0.57,1
30,0,1,0,0,-1,-12.7092,-9.9549,1,0.132037,-0.0304065,0.7,1
30,0,1,0,1,0,-11.9244,-10.0502,8,0.0184369,-0.095946,0.7,1
30,0,1,0,2,0,-12.8826,-9.18716,8,0.346971,-0.280558,0.7,1
30,0,1,0,3,0,-13.0856,-10.565,8,-0.0325866,0.224767,0.7,1
30,0,1,0,4,1,-11.1926,-10.0923,0,-0.0511794,-0.133478,0.7,1
30,1,2,0,0,-1,9.73438,-10.068,1,-0.399427,-0.396683,0.09,1
30,1,2,0,1,0,9.22007,-10.9636,4,-0.153762,-0.531597,0.09,1
30,1,2,0,2,1,10.5732,-10.4951,3,-0.275632,-0.162934,0.09,1
30,1,2,0,3,1,8.87572,-9.70486,3,-0.456671,-0.617949,0.09,1
30,2,3,0,0,-1,-2.33337,9.09382,1,0.291284,0.729851,0.34,1
30,2,3,0,1,0,-1.4275,9.6177,4,0.0664252,1.09966,0.34,1
30,2,3,0,2,1,-2.67313,10.0059,3,-0.0525971,0.658691,0.34,1
30,2,3,0,3,1,-1.36135,8.31775,3,0.6077,1.13296,0.34,1
