lineage,parent_lineage,first_mature_observation,last_mature_observation,observations,max_generation,max_cells
1,4294967295,0,360,48,2,5
2,4294967295,0,1799.99,1240,36,5
3,4294967295,0,900,147,9,9
4,4294967295,0,330,32,4,7
9,2,300,300,1,8,3
10,3,450,510,3,6,10
12,2,510,510,1,9,3
17,2,600,1200,123,25,6
22,2,690,930,16,19,5
23,22,780,870,6,17,11
24,2,690,690,1,13,5
25,2,690,1380,95,21,6
27,2,810,870,3,16,5
28,17,900,900,1,21,6
29,17,930,990,4,19,4
32,2,990,1020,2,18,5
35,25,1140,1200,3,19,4
36,2,1170,1170,1,21,3
39,2,1200,1200,1,23,5
40,2,1230,1230,1,21,6
42,2,1320,1350,2,25,5
43,2,1350,1380,2,27,3
47,2,1470,1650,11,30,5
48,2,1470,1500,2,29,5
49,2,1500,1650,9,30,5
50,2,1500,1650,16,29,5
52,2,1560,1590,2,33,2
54,2,1650,1740,4,28,5
58,2,1710,1740,2,31,5
59,2,1680,1680,1,32,3
61,2,1710,1740,3,33,3
63,2,1740,1770,2,33,3
65,2,1770,1799.99,2,31,5
