seconds,mature,cells,births,deaths,cell_deaths,generation,lineages,motes,absorbed,attacked,digested,energy_error,cap,mature_generation,mutated_births,structural_births,meta_births
0,4,25,0,0,0,0,4,160,0,0,0,0,0,0,0,0,0
30,9,70,5,0,0,2,5,1251,53.16,0,0,-3.03668e-07,0,2,5,1,0
60,9,79,6,4,12,3,5,2021,112.72,0,0,-5.75503e-07,0,2,6,1,0
90,11,100,11,9,40,4,4,1967,201.424,0,0,-9.59608e-07,0,3,8,1,0
120,24,180,24,9,40,5,4,1412,354.01,0,0,-1.137e-06,1,4,18,2,0
150,28,184,36,24,108,7,4,1289,494.14,0,0,-1.56097e-06,1,6,27,2,0
180,37,203,50,34,155,7,3,1121,659.481,0,0,-2.10046e-06,1,7,36,5,0
210,41,210,65,48,215,9,4,935,825.803,0,0,-2.76387e-06,1,8,49,8,0
240,33,191,77,79,314,10,5,1181,979.193,0,0,-3.05738e-06,1,9,60,11,0
270,34,194,93,106,400,10,6,1259,1134.29,0,0,-2.79173e-06,1,9,73,12,0
300,42,203,115,128,494,10,5,959,1328.42,0,0,-3.32361e-06,1,10,91,14,0
330,41,202,130,154,565,11,4,834,1497.14,0,0,-3.4172e-06,1,10,105,15,0
360,37,200,144,183,661,11,3,850,1659.84,0,0,-3.7252e-06,1,10,118,16,0
390,38,204,159,209,740,12,3,852,1830.03,0,0,-3.8213e-06,1,11,130,18,0
420,32,156,175,245,867,13,1,1085,1976.94,0,0,-4.07921e-06,1,12,143,19,0
450,30,167,187,271,943,14,1,1073,2134.31,0,0,-4.37069e-06,1,13,152,19,0
480,34,173,207,300,1036,15,1,1017,2294.98,0,0,-4.8549e-06,1,14,166,20,0
510,29,160,219,328,1117,17,1,1106,2439.99,0,0,-4.46039e-06,1,16,177,20,0
540,33,166,235,350,1197,17,2,1049,2608.05,0,0,-4.79376e-06,1,16,188,22,0
570,37,187,254,379,1276,18,1,884,2784.31,0,0,-5.02997e-06,1,17,201,23,1
600,31,175,266,408,1370,20,2,934,2950.5,0,0,-5.51772e-06,1,19,213,25,1
630,34,181,278,427,1432,20,3,980,3107.42,0,0,-6.18864e-06,1,19,223,26,1
660,32,166,292,459,1531,20,3,1025,3268.77,0,0,-6.25671e-06,1,19,232,27,1
690,31,172,308,489,1625,20,1,1082,3423.29,0,0,-6.59467e-06,1,19,246,28,1
720,43,204,333,511,1696,20,1,809,3615.06,0,0,-6.67363e-06,1,19,263,30,1
750,41,193,350,544,1800,20,1,757,3785.86,0,0,-7.19417e-06,1,19,275,31,1
780,36,184,362,572,1882,20,1,806,3950.61,0,0,-7.47666e-06,1,19,286,32,1
810,32,165,374,598,1973,21,2,931,4113.55,0,0,-7.74467e-06,1,20,296,33,1
840,38,189,393,619,2048,22,2,836,4289.38,0,0,-8.03632e-06,1,21,312,34,1
870,40,190,407,642,2120,22,2,820,4462.68,0,0,-7.99492e-06,1,21,325,34,1
900,33,180,420,676,2212,23,1,818,4633.68,0.35937,0,-8.44732e-06,1,22,332,35,2
930,34,184,436,702,2289,23,2,924,4793.15,1.98676,0,-8.82739e-06,1,22,342,36,2
960,34,160,455,734,2399,25,1,1059,4950.74,1.98676,0,-9.31397e-06,1,24,354,36,2
990,33,177,469,761,2476,26,1,952,5113.44,1.98676,0,-9.49767e-06,1,26,364,38,2
1020,35,180,486,792,2567,26,1,856,5284.14,1.98676,0,-1.01071e-05,1,26,379,38,2
1050,33,184,498,817,2639,27,1,859,5441.38,1.98676,0,-1.00316e-05,1,26,389,41,2
1080,30,153,511,847,2744,27,2,1128,5579.75,1.98676,0,-1.03416e-05,1,27,399,42,2
1110,28,148,523,871,2818,28,2,1334,5715.75,1.98676,0,-1.0306e-05,1,28,410,42,2
1140,26,139,534,894,2894,30,2,1322,5859.36,1.98676,0,-1.04212e-05,1,29,419,42,2
1170,37,188,553,911,2950,31,2,1080,6028.82,1.98676,0,-1.03564e-05,1,30,432,44,2
1200,36,177,568,938,3039,32,3,1060,6188.67,1.98676,0,-1.02694e-05,1,31,444,45,2
1230,34,180,580,960,3114,32,2,1042,6350.87,1.98676,0,-1.05186e-05,1,31,454,45,2
1260,25,140,587,988,3203,32,1,1363,6476.25,1.98676,0,-1.0579e-05,1,31,460,45,2
1290,33,159,605,1009,3266,32,2,1298,6627.54,1.98676,0,-1.10498e-05,1,31,473,47,2
1320,28,157,616,1032,3341,32,2,1273,6766.5,1.98676,0,-1.172e-05,1,31,483,48,2
1350,32,176,630,1051,3404,32,1,1158,6921.61,1.98676,0,-1.15742e-05,1,32,491,50,2
1380,28,166,640,1078,3482,33,1,1078,7077.35,1.98676,0,-1.16461e-05,1,32,496,50,2
1410,31,173,654,1100,3563,34,1,1061,7238.25,1.98676,0,-1.16008e-05,1,33,508,50,2
1440,27,169,669,1133,3663,34,2,1059,7405.37,3.02359,0,-1.23678e-05,1,33,522,51,2
1470,35,188,683,1144,3717,35,2,1026,7570.45,3.23328,0,-1.28705e-05,1,35,534,52,2
1500,28,171,691,1172,3801,37,2,1045,7725.76,3.23328,0,-1.32246e-05,1,36,540,52,2
1530,22,124,699,1202,3900,37,3,1372,7847.93,3.23328,0,-1.37613e-05,1,36,546,54,2
1560,34,181,717,1214,3937,37,3,1241,8003.19,3.23328,0,-1.41662e-05,1,37,561,55,2
1590,37,192,734,1240,4021,37,2,976,8177.09,3.23328,0,-1.48053e-05,1,37,576,55,2
1620,36,179,748,1266,4107,38,2,943,8331.79,3.23328,0,-1.52842e-05,1,37,586,56,2
1650,31,166,760,1295,4189,38,2,1054,8477.77,3.23328,0,-1.5389e-05,1,37,594,56,2
1680,21,120,767,1325,4277,38,1,1240,8601.45,3.23328,0,-1.54131e-05,1,37,600,56,2
1710,32,161,786,1338,4327,38,2,1181,8755.68,3.23328,0,-1.54028e-05,1,37,611,57,2
1740,34,192,801,1357,4388,38,1,790,8949.12,3.23328,0,-1.55541e-05,1,37,620,59,2
1770,37,190,824,1392,4506,39,1,817,9126.22,3.23328,0,-1.53844e-05,1,38,638,59,2
1799.99,35,184,841,1424,4607,40,1,860,9296.56,3.23328,0,-1.52419e-05,1,39,652,59,2
