1876,0,55,4,5400,9
1880,0,57,3,5400,9
1889,0,56,3,5400,9
1922,0,58,3,5519,9
1935,0,55,3,5542,9
1934,0,56,3,5608,9
1988,0,60,3,5638,9
1983,0,59,3,5648,9
1968,0,57,3,5708,9
2054,0,58,3,5836,9
2033,0,63,3,5844,9
2009,0,57,3,5878,9
2043,0,61,3,5909,9
2068,0,62,3,5949,9
2072,0,58,3,5975,9
2059,0,58,3,5985,9
2124,0,64,3,6072,8
2125,0,59,3,6097,9
2191,0,61,3,6214,9
2176,0,62,3,6334,9
2205,0,62,3,6435,9
2275,0,65,3,6486,9
2294,0,64,3,6548,9
2251,0,63,3,6550,9
2328,0,65,3,6606,9
2352,0,66,3,6664,9
2331,0,67,3,6698,9
2339,0,68,3,6792,9
2387,0,68,3,6914,9
2434,0,69,3,7037,9
2466,0,69,3,7040,9
2468,0,72,3,7043,9
2482,0,72,3,7104,9
2501,0,70,3,7136,9
1876,0,55,4,5400,9
1880,0,57,3,5400,9
1889,0,56,3,5400,9
1922,0,58,3,5519,9
1935,0,55,3,5542,9
1934,0,56,3,5608,9
1988,0,60,3,5638,9
1983,0,59,3,5648,9
1968,0,57,3,5708,9
2054,0,58,3,5836,9
2033,0,63,3,5844,9
2009,0,57,3,5878,9
2043,0,61,3,5909,9
2068,0,62,3,5949,9
2072,0,58,3,5975,9
2059,0,58,3,5985,9
2124,0,64,3,6072,8
2125,0,59,3,6097,9
2191,0,61,3,6214,9
2176,0,62,3,6334,9
2205,0,62,3,6435,9
2275,0,65,3,6486,9
2294,0,64,3,6548,9
2251,0,63,3,6550,9
2328,0,65,3,6606,9
2352,0,66,3,6664,9
2331,0,67,3,6698,9
2339,0,68,3,6792,9
2387,0,68,3,6914,9
2434,0,69,3,7037,9
2466,0,69,3,7040,9
2468,0,72,3,7043,9
2482,0,72,3,7104,9
2501,0,70,3,7136,9
