7530,0,104,4,5400,4
7751,0,111,3,5400,4
7799,0,112,4,5400,4
7821,0,105,3,5400,4
7876,0,109,3,5416,4
7875,0,112,3,5422,4
7910,0,111,3,5445,4
7869,0,106,3,5448,4
7934,0,110,3,5448,4
7929,0,114,3,5466,4
7947,0,106,3,5489,4
8053,0,113,3,5538,4
7987,0,114,3,5540,4
8014,0,111,3,5548,4
8079,0,114,3,5560,4
8045,0,113,3,5585,4
8109,0,117,3,5606,4
8091,0,114,3,5614,4
8216,0,112,3,5646,4
8196,0,115,3,5654,4
8222,0,113,3,5655,4
8180,0,115,3,5658,4
8181,0,114,3,5697,4
8259,0,120,3,5715,4
8271,0,114,3,5723,4
8302,0,116,3,5738,4
8381,0,117,3,5776,4
8238,0,113,3,5785,4
8357,0,116,3,5795,4
8379,0,116,3,5799,4
8368,0,117,3,5812,4
8228,0,115,3,5847,4
8399,0,118,3,5850,4
8446,0,120,3,5863,4
8430,0,118,3,5878,4
8521,0,120,3,5900,4
8470,0,119,3,5926,4
8570,0,121,3,5935,4
8571,0,115,3,5972,4
8658,0,121,3,5974,4
